# Depth(m), Pressure(Pa), Temperature(K), X_H2O, X_CH4, X_C2H6, X_CO, X_CO2
5.73712927e+05 9.57602264e+07 1.28349760e+03 8.37621987e-03 2.02541654e-03 5.61983244e-09 3.25373215e-07 1.87596292e-09
5.83493508e+05 1.00736283e+08 1.30167639e+03 8.37614936e-03 2.02534465e-03 6.19586456e-09 3.95161495e-07 2.18509864e-09
5.93274088e+05 1.05896570e+08 1.31981372e+03 8.37606733e-03 2.02526105e-03 6.81029652e-09 4.76385543e-07 2.53007548e-09
6.03054669e+05 1.11245401e+08 1.33790981e+03 8.37597254e-03 2.02516450e-03 7.46400828e-09 5.70267179e-07 2.91290769e-09
6.12835250e+05 1.16787145e+08 1.35596486e+03 8.37586374e-03 2.02505369e-03 8.15780440e-09 6.78063707e-07 3.33548857e-09
6.22615831e+05 1.22526224e+08 1.37397910e+03 8.37573963e-03 2.02492731e-03 8.89241166e-09 8.01057538e-07 3.79956867e-09
6.32396412e+05 1.28467117e+08 1.39195277e+03 8.37559892e-03 2.02478400e-03 9.66847746e-09 9.40545113e-07 4.30673572e-09
6.42176992e+05 1.34614355e+08 1.40988614e+03 8.37544029e-03 2.02462241e-03 1.04865688e-08 1.09782524e-06 4.85839639e-09
6.51957573e+05 1.40972521e+08 1.42777947e+03 8.37526246e-03 2.02444121e-03 1.13471719e-08 1.27418708e-06 5.45576015e-09
6.61738154e+05 1.47546261e+08 1.44563306e+03 8.37506414e-03 2.02423904e-03 1.22506921e-08 1.47089800e-06 6.09982576e-09
6.71518735e+05 1.54340270e+08 1.46344725e+03 8.37484410e-03 2.02401461e-03 1.31974543e-08 1.68919166e-06 6.79137083e-09
6.81299316e+05 1.61359299e+08 1.48122239e+03 8.37460115e-03 2.02376665e-03 1.41877030e-08 1.93025609e-06 7.53094330e-09
6.91079896e+05 1.68608157e+08 1.49895889e+03 8.37433414e-03 2.02349393e-03 1.52216028e-08 2.19522223e-06 8.31885536e-09
7.00860477e+05 1.76091708e+08 1.51665715e+03 8.37404202e-03 2.02319531e-03 1.62992397e-08 2.48515292e-06 9.15518006e-09
7.10641058e+05 1.83814872e+08 1.53431761e+03 8.37372378e-03 2.02286968e-03 1.74206217e-08 2.80103229e-06 1.00397493e-08
7.20421639e+05 1.91782625e+08 1.55194070e+03 8.37337854e-03 2.02251605e-03 1.85856789e-08 3.14375539e-06 1.09721524e-08
7.30202220e+05 2.00000000e+08 1.56952683e+03 8.37304809e-03 2.02217724e-03 1.96613855e-08 3.47181184e-06 1.18428385e-08
